IdClient,IdOnPSX,Status
6f87dc88-267a-4901-b5cb-1b2a8c0d3488,3792,ON
d011dfca-5ce7-44de-bb25-7b214baf3ba8,3793,ON
42ea1517-e42c-4075-80a3-0f37b8491e95,3794,ON
e57a1958-0357-4908-bfd9-446a397a3fbd,3795,ON
3f6bd98f-3c9b-47f4-a6db-09037e9eea70,3796,ON
053ee656-a58c-43d9-8792-4eb5367ef202,3797,ON
6902330f-ed81-45a3-82cc-e7d0225bb14e,3798,ON
0a366606-7e4d-4336-86d1-7b01ab61b6ed,3799,ON
03c00a72-0e78-4bc7-b304-e348604a1029,3800,ON
f09b86af-5741-4ada-9c11-34a273e24a5c,3801,ON
88160329-e33d-4190-b247-4d66b2774e69,3802,ON
7f776f06-d376-4560-a2ca-177a14055982,3803,ON
c519cbd4-d68b-4825-9258-13882e5321a2,3804,ON
bf02e16d-f465-4261-b94b-9112875658f8,3805,ON
9ee39b93-44ff-4600-b09e-ea8a7ed473ca,3806,ON
191c42f4-038d-4599-85d5-7a927ce33e99,3807,ON
0e68c1a0-b19c-44c6-907b-1bae4f8e60e0,3808,ON
6a7f86c4-3282-47a8-99eb-9c6942bb8684,3809,ON
640f755a-3a9b-43f7-943d-15b0dd3c57b3,3810,OFF
35edb551-a054-4449-a172-c00b738c3fb0,3811,ON
91e7a3e6-4c44-4cb9-8802-b26d57020b4e,3812,ON
3693bcb1-08f6-402f-882e-8c0571a8270f,3813,ON
ee8e1f9d-2104-4a67-907b-8bdebc1f6f83,3814,ON
562a2a81-94ba-4c2c-902a-32c6edd59509,3815,ON
7a823c13-60e9-4a99-84e6-c121cdb927ee,3816,ON
f6cfda7f-4f26-438a-9d57-074a8b09f4c0,3817,ON
af1cec65-6de6-46ec-8e27-56751269074c,3818,ON
120953ed-4bf2-404a-b249-40a223017dc3,3819,ON
3ed9debe-4858-4f3a-88fa-917e70abc7b4,3820,ON
50138490-c2f9-4c61-86e2-897cc5c81630,3821,ON
f9d008c2-e0ab-4665-afbd-a2e5b8dc886b,3822,ON
8420acc7-2344-4a9e-95c5-cdbe6d7fb169,3823,ON
b07a136c-1634-4220-ac45-c37e54272b25,3824,ON
3afe69bc-2ebb-4390-a280-672c6683b497,3825,ON
3b05a3af-b1b5-406c-ad5a-f054b18aa444,3826,ON
1fd9a6f9-1cf9-4f91-b35a-0ba89a097f61,3827,ON
496f2961-647e-42a2-b619-2dedb617831b,3828,ON
34122b0d-dd74-45ce-ab61-b26a6cd16d1e,3829,ON
e056a5a5-a72a-41d2-8fec-c8dfd739cfe2,3830,ON
1b6f5139-e3da-41f5-bf2f-4bbc6a76cbb6,3831,ON
b82bcfca-4ed0-44a0-a965-0cf74dc54a91,3832,ON
dddd3623-aa25-4f31-a400-61f5641fc74e,3833,ON
75edab09-9bb3-43c3-ace8-2e42ce6aaba0,3834,ON
aad97b94-344f-4512-8e33-342fe8d7695f,3835,ON
541230fd-31c6-49b5-b9bc-1b9881c1779a,3836,ON
52b24516-7cae-41c4-86c6-8c9bf465f623,3837,ON
984067a5-6ff5-4167-940e-700cba359fe0,3838,ON
992aa609-d573-4c26-bdf7-2d37d3c83c00,3839,ON
1e2d027f-aa39-4e7b-989d-5ee8e1b30f2c,3840,ON
1a498c51-66a1-4573-82a0-e77545e887c3,3841,ON
b8d0a9a2-b7aa-4b6d-ac63-3da4a4b08552,3842,ON
d2de8c97-7c32-4723-ab8f-83542278c772,3843,ON
38bea57c-e449-4cfe-9696-612af376f935,3844,ON
5eff1792-49d0-41fd-afe7-254c63752c09,3845,ON
aeb582ea-d8b0-473e-95fe-d0fd079391c5,3846,ON
bb48ca54-4adf-4fdf-a854-46d0e7ecebfb,3847,ON
d660a070-6fd6-43c9-9fa4-55ed77b2bb38,3848,ON
5d67fa37-71ea-4ef6-93d2-aae1e337e586,3849,ON
0fd43de6-404e-4763-b4bc-d7811f2a1664,3850,ON
b9d5d78e-e164-420c-8f80-64f675bffacc,3851,ON
561d6fc7-ae8e-4f17-a910-b1181f503578,3852,ON
9f32b20e-81cf-42df-a960-9e800313bdc4,3853,ON
f53f99c0-c311-4647-bbbb-51ea8fe0a7a9,3854,ON
03de0dce-94e8-406d-9a9d-38ec1fc96646,3855,ON
2c2480f1-b82f-498a-842b-1a844cdddcf7,3856,ON
5bb54deb-5230-43de-af7a-e8ae0eba58a1,3857,ON
a3e7de05-8d6c-46f1-816a-c7328758f300,3858,ON
e866960a-b462-4697-ad18-9ca18ae7332f,3859,ON
e74578c4-ede3-4288-8d59-ffec757d7922,3860,ON
d652155e-6ade-4b19-b944-4ec52279c19c,3861,ON
57228ec2-090b-4d59-8f87-a5d57c388755,3862,ON
782cacdc-4687-4014-badd-4e8ad57ab2db,3863,ON
27466467-71d5-430c-a37b-68722bb4b1db,3864,OFF
0061d782-fef4-40af-8eb8-97f4310653f7,3865,ON
b0e6a8d7-ca25-4e2e-9d1d-acf1b5c7e2e9,3866,ON
27fa6023-afe9-4b51-a3a3-75d94cf7fbd0,3867,OFF
94abb12b-5aa7-41bb-ac3e-3e6fca320766,3868,ON
63bf13a8-5650-4f30-82f8-d4d0de179382,3869,ON
09304b19-5ab7-4064-be83-a1a2ca3aa491,3870,ON
47c4bb2c-c08c-49de-870b-5c60926b8f5d,3871,ON
e8b3640a-8c28-49a1-9d15-39a193c4c18d,3872,ON
bdc20f95-b402-46b9-b035-408033b71373,3873,ON
ba1c6e7f-6165-4e89-b2a0-43a41b98c567,3874,ON
38439bbf-a531-4a89-bc9b-74b1442f73f8,3875,ON
b69b7f31-c0c3-40e8-8601-58a6108ca17d,3876,ON
12b80e3f-b9cc-4eb8-983e-cd03cf5a5aa5,3877,ON
7ca8762f-066a-4394-9972-b2ab5e7dc20f,3878,ON
37f4ccc7-2dac-4efd-8d88-94365fc9d35f,3879,ON
c2d6fbfa-d4ea-4762-9520-e86ffab21d71,3880,ON
79468e08-15f7-4c19-8489-a810269c9796,3881,ON
13161130-6da2-489d-9e94-11bba36a229f,3882,ON
b631b2ed-81d1-4466-be3c-a051eaab42e0,3883,ON
e0dbaffb-c31b-46a4-acc6-5aa7ca4e497f,3884,ON
f385b444-e5fc-4098-9d43-7501264ad2bb,3885,ON
06326a49-14da-481c-90a3-8ba3796fe321,3886,ON
2e45a05e-3928-45a0-b2f2-c4e1fc0f1d60,3887,ON
188e116e-77a7-4d62-ae6d-c4c9fb1614c6,3888,ON
8918334b-74d4-49b5-aa3a-4f976dddc32b,3889,ON
5f6000a9-c646-4f4f-b5a5-e7257ad1439c,3890,OFF
